,Départements,Candidats,Votes
102,Calvados,Blancs_nuls et abstentions,33.83290672451193
103,Cantal,Blancs_nuls et abstentions,30.61163822525597
104,Charente,Blancs_nuls et abstentions,33.260666666666665
105,Charente-Maritime,Blancs_nuls et abstentions,59.97430769230769
106,Cher,Blancs_nuls et abstentions,54.234370709382155
107,Corrèze,Blancs_nuls et abstentions,36.981145833333336
108,Creuse,Blancs_nuls et abstentions,34.93719424460432
109,Côte-d'Or,Blancs_nuls et abstentions,29.79325991189427
110,Côtes-d'Armor,Blancs_nuls et abstentions,28.826717557251907
111,Doubs,Blancs_nuls et abstentions,30.10290620871863
112,Drôme,Blancs_nuls et abstentions,28.837865546218485
113,Essonne,Blancs_nuls et abstentions,50.546101123595506
114,Eure,Blancs_nuls et abstentions,33.088223602484476
115,Eure-et-Loir,Blancs_nuls et abstentions,39.02628158844765
116,Finistère,Blancs_nuls et abstentions,32.44143028846154
117,Français établis hors de France,Blancs_nuls et abstentions,373.0835576923077
118,Gard,Blancs_nuls et abstentions,33.2343156424581
119,Gers,Blancs_nuls et abstentions,24.598251473477408
120,Gironde,Blancs_nuls et abstentions,37.38664056939502
121,Guadeloupe,Blancs_nuls et abstentions,141.12571428571428
122,Guyane,Blancs_nuls et abstentions,243.98864661654133
123,Haut-Rhin,Blancs_nuls et abstentions,40.607583697234354
124,Haute-Corse,Blancs_nuls et abstentions,70.1852
125,Haute-Loire,Blancs_nuls et abstentions,29.46111111111111
126,Haute-Marne,Blancs_nuls et abstentions,32.31243772241993
127,Haute-Savoie,Blancs_nuls et abstentions,35.518136645962734
128,Haute-Saône,Blancs_nuls et abstentions,29.65732899022801
129,Haute-Vienne,Blancs_nuls et abstentions,34.23902116402117
130,Hautes-Alpes,Blancs_nuls et abstentions,28.052524271844657
131,Hautes-Pyrénées,Blancs_nuls et abstentions,28.201771019678
132,Hauts-de-Seine,Blancs_nuls et abstentions,29.51956183057449
133,Hérault,Blancs_nuls et abstentions,35.468398727465534
134,Ille-et-Vilaine,Blancs_nuls et abstentions,30.027103524229076
135,Indre,Blancs_nuls et abstentions,65.75674846625768
136,Indre-et-Loire,Blancs_nuls et abstentions,34.88344028520499
137,Jura,Blancs_nuls et abstentions,28.0601247771836
138,La Réunion,Blancs_nuls et abstentions,109.7765376344086
139,Landes,Blancs_nuls et abstentions,26.622563106796118
140,Loir-et-Cher,Blancs_nuls et abstentions,42.90616368286445
141,Loiret,Blancs_nuls et abstentions,37.140316265060235
